abstention_reason,branch,burst_count,capture_id,class_probability,decision_window_id,evaluation_domain,final_decision,predicted_class,true_physical_unit_id,window_duration_s
,engineered_rf,66,BLE-IQ-5c559e4b6901,1.0,BLE-IQ-5c559e4b6901-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,394,BLE-IQ-6076ce92284f,1.0,BLE-IQ-6076ce92284f-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,396,BLE-IQ-60bf910d89f6,0.8432432432432432,BLE-IQ-60bf910d89f6-decision-win-00000,,IDENTIFIED,keyfobdemo 01,CC2650-UNIT-01,10.0
,engineered_rf,458,BLE-IQ-61b86adc91bb,0.8690476190476191,BLE-IQ-61b86adc91bb-decision-win-00000,,IDENTIFIED,keyfobdemo 01,CC2650-UNIT-01,10.0
,engineered_rf,116,BLE-IQ-66df6092ec05,0.416243654822335,BLE-IQ-66df6092ec05-decision-win-00000,,UNKNOWN,CC2541SensorTag,SHELLY-PLUG-01,10.0
,engineered_rf,526,BLE-IQ-67d4a6315f26,0.9476439790575916,BLE-IQ-67d4a6315f26-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,25,BLE-IQ-67d4a6315f26,1.0,BLE-IQ-67d4a6315f26-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,265,BLE-IQ-683d5a09b159,0.7837837837837838,BLE-IQ-683d5a09b159-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,129,BLE-IQ-683d5a09b159,1.0,BLE-IQ-683d5a09b159-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,397,BLE-IQ-6be58cb10adb,1.0,BLE-IQ-6be58cb10adb-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,440,BLE-IQ-6db3f8559c73,0.9779005524861878,BLE-IQ-6db3f8559c73-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,439,BLE-IQ-6f0868e3396d,0.978021978021978,BLE-IQ-6f0868e3396d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,261,BLE-IQ-71529cd9fc5d,0.9240506329113923,BLE-IQ-71529cd9fc5d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,477,BLE-IQ-74f39c2f56d5,0.8395061728395061,BLE-IQ-74f39c2f56d5-decision-win-00000,,IDENTIFIED,keyfobdemo 01,CC2650-UNIT-01,10.0
,engineered_rf,88,BLE-IQ-7577ae25b158,1.0,BLE-IQ-7577ae25b158-decision-win-00000,TEST,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,245,BLE-IQ-7577ae25b158,0.8414634146341463,BLE-IQ-7577ae25b158-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,197,BLE-IQ-7adc69bdefe6,0.7105263157894737,BLE-IQ-7adc69bdefe6-decision-win-00000,,IDENTIFIED,CC2650-UNIT-01,,10.0
,engineered_rf,86,BLE-IQ-7b003a34f9ae,1.0,BLE-IQ-7b003a34f9ae-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,118,BLE-IQ-7b003a34f9ae,0.6524064171122994,BLE-IQ-7b003a34f9ae-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,97,BLE-IQ-7ba400a4c482,0.7666666666666667,BLE-IQ-7ba400a4c482-decision-win-00000,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,106,BLE-IQ-7ba400a4c482,0.8045977011494253,BLE-IQ-7ba400a4c482-decision-win-00001,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,114,BLE-IQ-7ba400a4c482,0.7297297297297297,BLE-IQ-7ba400a4c482-decision-win-00002,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,111,BLE-IQ-7ba400a4c482,0.75,BLE-IQ-7ba400a4c482-decision-win-00003,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,100,BLE-IQ-7ba400a4c482,0.7391304347826088,BLE-IQ-7ba400a4c482-decision-win-00004,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,108,BLE-IQ-7ba400a4c482,0.75,BLE-IQ-7ba400a4c482-decision-win-00005,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,362,BLE-IQ-7e17d7b4fe8b,0.8125000000000001,BLE-IQ-7e17d7b4fe8b-decision-win-00000,TEST,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,446,BLE-IQ-803a1179a215,0.75,BLE-IQ-803a1179a215-decision-win-00000,,IDENTIFIED,keyfobdemo 01,CC2650-UNIT-01,10.0
,engineered_rf,373,BLE-IQ-80a9276a6bff,0.7999999999999999,BLE-IQ-80a9276a6bff-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,374,BLE-IQ-88535ea7870d,0.9411764705882353,BLE-IQ-88535ea7870d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,82,BLE-IQ-88535ea7870d,1.0,BLE-IQ-88535ea7870d-decision-win-00000,TRAIN,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,207,BLE-IQ-8892eb606635,0.9494949494949495,BLE-IQ-8892eb606635-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,96,BLE-IQ-8892eb606635,0.5524861878453039,BLE-IQ-8892eb606635-decision-win-00000,TEST,UNKNOWN,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,348,BLE-IQ-88ff6ca3412e,0.9148936170212765,BLE-IQ-88ff6ca3412e-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,13,BLE-IQ-88ff6ca3412e,1.0,BLE-IQ-88ff6ca3412e-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,223,BLE-IQ-896f762b01fd,0.9789473684210526,BLE-IQ-896f762b01fd-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,78,BLE-IQ-896f762b01fd,0.64,BLE-IQ-896f762b01fd-decision-win-00000,TEST,UNKNOWN,keyfobdemo 01,keyfobdemo 02,10.0
,engineered_rf,452,BLE-IQ-8a14fcc45a6d,0.978021978021978,BLE-IQ-8a14fcc45a6d-decision-win-00000,TEST,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,95,BLE-IQ-8ade1f141f45,0.89,BLE-IQ-8ade1f141f45-decision-win-00000,VALIDATION,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,256,BLE-IQ-8ade1f141f45,0.6494845360824743,BLE-IQ-8ade1f141f45-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,443,BLE-IQ-8b3555873373,0.9047619047619047,BLE-IQ-8b3555873373-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,428,BLE-IQ-94691883d04e,0.978494623655914,BLE-IQ-94691883d04e-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,461,BLE-IQ-959dade6f0df,0.7866666666666666,BLE-IQ-959dade6f0df-decision-win-00000,,IDENTIFIED,keyfobdemo 01,CC2650-UNIT-01,10.0
,engineered_rf,440,BLE-IQ-98ba82ed706e,0.8230769230769232,BLE-IQ-98ba82ed706e-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,110,BLE-IQ-9b8b198e2cca,0.4895833333333333,BLE-IQ-9b8b198e2cca-decision-win-00000,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,115,BLE-IQ-9b8b198e2cca,0.4742268041237114,BLE-IQ-9b8b198e2cca-decision-win-00001,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,107,BLE-IQ-9b8b198e2cca,0.4787234042553191,BLE-IQ-9b8b198e2cca-decision-win-00002,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,110,BLE-IQ-9b8b198e2cca,0.4869109947643979,BLE-IQ-9b8b198e2cca-decision-win-00003,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,109,BLE-IQ-9b8b198e2cca,0.45744680851063824,BLE-IQ-9b8b198e2cca-decision-win-00004,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,106,BLE-IQ-9b8b198e2cca,0.3917525773195876,BLE-IQ-9b8b198e2cca-decision-win-00005,,UNKNOWN,keyfobdemo 01,CC2541SensorTag,10.0
,engineered_rf,371,BLE-IQ-9c8a65846b76,0.9795918367346939,BLE-IQ-9c8a65846b76-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,82,BLE-IQ-9c8a65846b76,1.0,BLE-IQ-9c8a65846b76-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,106,BLE-IQ-9d7261468b62,0.40932642487046633,BLE-IQ-9d7261468b62-decision-win-00000,,UNKNOWN,keyfobdemo 01,HW-QUAL-PROBE-01,10.0
,engineered_rf,106,BLE-IQ-9d7261468b62,0.3917525773195876,BLE-IQ-9d7261468b62-decision-win-00001,,UNKNOWN,CC2541SensorTag,HW-QUAL-PROBE-01,10.0
,engineered_rf,109,BLE-IQ-9d7261468b62,0.40860215053763443,BLE-IQ-9d7261468b62-decision-win-00002,,UNKNOWN,CC2541SensorTag,HW-QUAL-PROBE-01,10.0
,engineered_rf,81,BLE-IQ-9f17d1880d5b,1.0,BLE-IQ-9f17d1880d5b-decision-win-00000,TRAIN,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,365,BLE-IQ-9f17d1880d5b,0.9456521739130435,BLE-IQ-9f17d1880d5b-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,112,BLE-IQ-9fcdc4573f39,0.4468085106382979,BLE-IQ-9fcdc4573f39-decision-win-00000,,UNKNOWN,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,370,BLE-IQ-a0e8f79f3d30,0.7843137254901961,BLE-IQ-a0e8f79f3d30-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,97,BLE-IQ-a0e8f79f3d30,1.0,BLE-IQ-a0e8f79f3d30-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,100,BLE-IQ-a14d490664e7,0.8287292817679558,BLE-IQ-a14d490664e7-decision-win-00000,VALIDATION,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,251,BLE-IQ-a14d490664e7,0.9591836734693877,BLE-IQ-a14d490664e7-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,110,BLE-IQ-a478d710d3be,0.46808510638297873,BLE-IQ-a478d710d3be-decision-win-00000,,UNKNOWN,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,311,BLE-IQ-a7aeed27d93c,0.5978260869565217,BLE-IQ-a7aeed27d93c-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,345,BLE-IQ-a80270fbfdcf,0.7391304347826088,BLE-IQ-a80270fbfdcf-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,105,BLE-IQ-aa9e327cee83,0.5824175824175823,BLE-IQ-aa9e327cee83-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,63,BLE-IQ-aa9e327cee83,1.0,BLE-IQ-aa9e327cee83-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,261,BLE-IQ-aae76c91c597,0.6626506024096386,BLE-IQ-aae76c91c597-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,47,BLE-IQ-aae76c91c597,0.9191919191919192,BLE-IQ-aae76c91c597-decision-win-00000,VALIDATION,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
